id,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,distance_calculations,is_core,cluster_id
1652,4,7,6,5,6,6,8,3,4,6,6,9,6,10,7,5,15899,1,1
1653,1,0,2,0,0,7,7,4,4,7,6,8,2,8,4,8,2893,1,1
1654,2,1,4,1,1,7,12,3,2,6,11,9,2,11,0,7,15741,0,1
1655,5,9,4,12,4,7,8,3,3,13,5,5,3,8,7,10,16910,0,1
1656,2,1,3,2,1,8,6,7,5,6,6,8,3,8,4,8,5274,0,1
1657,4,8,4,6,4,8,8,5,7,5,5,7,0,8,8,8,15741,1,1
1658,9,13,9,7,5,10,6,2,6,11,4,7,6,11,3,9,9994,0,1
1659,1,3,3,2,1,11,2,3,2,10,2,9,1,6,2,8,5710,0,4
1660,5,10,4,6,2,8,7,5,7,11,6,9,2,10,7,9,15058,1,1
1661,4,9,5,7,6,6,7,5,8,7,6,10,3,8,6,9,14533,1,1
1662,5,9,8,6,4,6,11,3,6,14,6,4,2,10,2,7,13440,1,1
1663,5,9,7,6,6,5,7,1,6,9,8,10,4,7,3,8,16767,0,1
1664,2,5,3,4,2,7,7,5,9,6,6,8,2,8,7,8,10924,1,1
1665,2,7,4,5,1,8,11,0,3,6,11,8,0,10,0,8,16189,0,1
1666,1,1,3,2,1,7,10,1,6,7,11,8,1,11,1,8,13079,1,1
1667,3,3,4,4,3,8,8,6,3,5,7,10,3,8,5,9,11700,1,1
1668,2,9,3,7,1,12,2,10,4,13,6,13,1,6,0,8,11674,1,13
1669,3,6,4,4,3,7,7,6,9,7,7,9,3,8,6,8,14820,1,1
1670,4,9,5,7,5,9,9,6,4,7,5,8,4,9,10,6,16701,0,1
1671,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6,8943,1,1
1672,6,10,8,8,6,6,6,6,6,5,6,11,2,9,4,8,16304,0,1
1673,2,3,4,2,1,11,2,3,1,9,2,9,1,6,2,8,4479,1,4
1674,4,6,6,9,9,7,8,6,0,8,6,7,6,10,6,11,17123,0,1
1675,5,9,5,4,3,11,3,3,6,11,3,9,3,8,6,13,16282,0,1
1676,6,12,6,7,4,6,10,3,5,13,6,3,3,10,5,6,15275,1,1
1677,3,2,5,4,4,9,6,6,4,6,7,6,7,6,2,5,8850,0,1
1678,4,5,5,4,2,4,4,5,8,2,2,5,1,6,1,5,1415,0,3
1679,5,8,5,6,2,4,12,4,4,10,12,7,3,10,1,8,12587,1,1
1680,5,11,6,8,6,8,8,13,1,6,6,8,6,8,1,10,13044,0,2
1681,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,927,1,5
1682,5,5,6,4,4,7,6,6,5,6,7,9,9,6,2,8,16196,0,1
1683,6,10,6,5,3,6,8,4,3,10,8,5,3,10,4,4,18535,0,1
1684,5,11,5,8,4,7,5,12,4,7,13,8,3,9,0,7,11650,0,18
1685,5,9,8,7,4,8,7,1,8,10,4,7,3,8,4,8,15304,1,1
1686,4,9,4,5,2,8,8,2,5,13,5,5,1,9,5,10,17355,0,1
1687,6,7,8,9,7,9,8,3,1,8,6,8,4,9,9,9,16347,0,1
1688,5,9,8,6,4,8,10,1,7,5,11,8,2,12,3,8,13951,0,1
1689,3,4,5,2,3,9,6,3,4,8,5,7,7,5,1,8,9672,0,1
1690,1,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8,4369,1,8
1691,2,7,4,5,3,6,7,7,9,8,8,9,2,9,6,8,17340,0,1
1692,3,3,4,4,2,7,7,14,1,7,7,8,3,8,0,8,16407,0,2
1693,8,13,7,7,4,8,8,2,9,9,6,7,4,10,4,8,12377,1,1
1694,6,9,9,8,8,6,7,5,7,7,4,7,4,6,6,5,18254,0,1
1695,3,9,4,6,3,7,7,0,7,13,6,8,0,8,1,8,12548,1,6
1696,4,6,6,4,5,7,9,6,3,6,6,10,4,7,7,7,16982,0,1
1697,3,3,3,2,1,5,13,4,5,11,8,4,2,11,1,5,15062,0,1
1698,4,7,5,5,3,10,7,3,5,12,4,5,2,9,3,9,15780,0,1
1699,4,8,5,9,5,8,7,7,2,8,7,12,3,9,6,8,14413,0,1
1700,6,6,8,6,6,8,3,4,5,7,3,9,5,5,6,8,18137,0,1
1701,4,7,6,5,2,5,9,3,6,15,7,9,1,6,1,7,18267,0,6
1702,2,1,3,2,2,5,10,3,2,8,9,9,5,11,0,8,15991,0,1
1703,3,11,4,8,3,9,7,0,7,13,5,8,0,8,1,8,13810,1,6
1704,4,5,5,7,2,7,7,4,4,7,6,8,3,8,4,8,10588,0,1
1705,4,8,6,6,5,8,7,5,6,9,5,6,3,8,7,9,15127,1,1
1706,4,10,5,7,3,7,7,14,2,4,6,8,6,8,0,8,11626,1,2
1707,3,6,5,4,4,5,9,3,6,10,8,8,3,8,3,6,14334,0,1
1708,7,10,6,6,4,8,7,4,3,9,5,6,4,9,8,8,17470,0,1
1709,7,10,10,8,6,10,5,2,5,9,4,7,8,6,2,9,15727,1,1
1710,3,4,5,5,1,8,6,3,1,7,0,8,2,7,1,8,5469,0,4
1711,5,11,7,8,5,9,11,3,2,5,10,8,5,10,5,7,16093,0,1
1712,2,3,4,2,2,8,6,3,4,9,6,8,6,5,1,7,8273,0,1
1713,4,10,5,7,6,6,7,5,6,6,4,8,3,6,5,9,16265,0,1
1714,2,3,3,2,2,6,7,5,5,9,7,10,2,9,4,9,8989,1,1
1715,3,8,4,6,3,7,7,4,4,7,6,8,2,8,4,8,8385,0,1
1716,2,7,4,5,3,9,3,1,5,9,3,9,1,6,2,9,11673,0,3
1717,3,8,5,6,1,9,12,2,3,4,12,9,0,10,0,8,16029,0,1
1718,4,7,4,5,3,7,7,5,11,7,6,9,1,8,8,8,15416,0,1
1719,9,13,7,7,4,9,10,5,5,6,10,6,5,12,3,6,11929,1,1
1720,5,8,6,6,4,7,8,2,9,11,7,8,1,9,6,7,13624,1,1
1721,6,8,8,7,7,5,7,4,5,7,6,11,4,9,8,9,15146,1,1
1722,2,7,4,5,4,7,6,2,6,7,5,8,3,7,5,9,12454,0,1
1723,2,1,2,2,1,7,7,3,12,8,6,8,0,8,7,8,16161,0,1
1724,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,3524,1,8
1725,4,10,5,8,3,7,7,4,15,9,6,8,0,8,8,8,7505,0,19
1726,3,7,5,5,3,7,11,1,8,7,11,8,1,10,1,8,15309,1,1
1727,3,2,4,4,2,6,8,5,6,6,8,9,6,10,1,7,15492,0,1
1728,3,5,4,4,2,6,12,3,6,7,11,9,2,11,1,8,15231,1,1
1729,2,9,3,6,2,10,6,1,7,11,3,6,0,7,1,7,15022,0,6
1730,8,12,8,7,4,7,8,2,7,12,7,7,3,9,5,6,12348,1,1
1731,6,11,8,8,8,7,9,6,5,8,6,8,5,8,7,12,8795,1,1
1732,7,12,6,6,3,5,9,4,5,4,4,11,5,9,2,7,19006,1,1
1733,1,1,2,2,1,11,7,1,5,11,4,7,0,7,0,8,9677,0,6
1734,6,9,6,4,3,3,9,2,2,9,11,8,7,11,0,7,16943,0,1
1735,4,6,4,8,2,1,14,5,3,12,9,5,0,8,3,6,17156,0,10
1736,3,2,4,4,3,7,8,5,5,6,5,6,3,7,4,8,5710,0,1
1737,6,9,5,4,3,8,6,5,5,6,6,7,4,7,3,6,14401,0,1
1738,5,5,5,4,2,5,12,2,7,11,9,4,1,11,2,4,13661,1,1
1739,2,5,4,3,2,6,7,2,8,11,7,9,2,8,4,8,10928,1,1
1740,3,3,5,2,2,6,8,2,7,10,7,9,3,8,2,7,10007,1,1
1741,3,9,4,6,3,10,11,3,7,4,12,8,2,12,1,8,14390,0,1
1742,3,6,4,4,1,7,4,14,5,7,13,8,3,9,0,8,12534,1,18
1743,3,7,5,5,5,7,11,2,2,6,8,8,6,11,1,8,17037,1,1
1744,3,6,5,5,4,6,6,4,5,7,6,11,4,10,7,10,16776,1,1
1745,6,9,8,7,5,9,6,4,7,10,5,6,3,8,3,9,14775,1,1
1746,3,8,4,6,4,6,10,7,4,7,4,9,2,6,5,11,15057,0,1
1747,4,7,5,5,4,9,6,6,5,6,8,6,8,5,2,7,16362,0,1
1748,4,10,5,8,5,7,11,3,7,7,11,8,2,12,1,8,10004,1,1
1749,3,6,4,4,3,8,11,2,2,6,10,9,2,10,2,9,16751,0,1
1750,3,5,4,3,2,6,6,6,5,8,7,11,2,8,4,10,12271,0,1
1751,4,9,5,7,4,4,8,6,7,9,9,15,1,9,4,10,10268,0,1
1752,7,11,7,6,4,10,4,6,6,13,4,10,5,7,5,9,12756,0,1
1753,1,3,3,2,1,6,4,1,7,7,2,10,0,7,2,8,1832,1,3
1754,3,7,5,5,6,6,8,4,4,6,5,9,5,7,7,7,14041,1,1
1755,3,6,5,8,7,8,9,5,0,8,7,6,5,10,5,8,18548,0,1
1756,4,5,5,8,2,7,7,4,14,9,6,8,0,8,8,8,13803,0,19
1757,7,9,10,7,6,8,6,2,5,9,6,8,10,8,3,8,15373,0,1
1758,2,5,3,3,1,4,9,5,6,11,10,11,1,9,2,7,14688,1,1
1759,3,4,5,3,2,6,8,2,9,11,7,8,2,8,4,6,11917,1,1
1760,4,6,6,4,5,8,7,5,6,9,4,5,3,8,3,8,12851,0,1
1761,4,7,4,5,3,6,7,8,6,7,6,7,2,8,9,10,14225,1,1
1762,2,1,3,1,2,7,6,6,4,6,7,7,7,6,2,7,6280,0,1
1763,4,6,5,5,5,6,8,4,3,8,7,9,4,10,8,11,15945,1,1
1764,3,5,4,4,3,6,7,5,4,9,8,9,3,7,5,10,14048,0,1
1765,6,10,9,8,7,10,6,2,7,11,4,7,5,6,4,10,11024,1,1
1766,3,2,4,3,2,7,8,5,5,8,7,6,6,10,3,5,11067,0,1
1767,5,11,7,8,9,8,7,5,2,6,6,10,7,8,6,12,11868,0,1
1768,3,9,4,6,2,7,7,4,14,9,6,8,0,8,8,8,9317,1,19
1769,3,7,4,5,3,8,7,7,7,9,5,4,3,8,4,7,13577,0,1
1770,2,1,3,1,1,7,11,3,5,7,10,8,2,11,1,8,13997,0,1
1771,4,11,5,8,3,7,7,0,9,14,6,8,0,8,1,8,12363,1,6
1772,6,15,6,8,3,7,3,3,5,12,4,13,2,7,6,8,15194,0,1
1773,4,6,6,9,9,8,6,5,1,7,6,7,8,8,6,7,18569,0,1
1774,7,10,9,8,8,9,8,3,6,9,3,8,3,6,4,11,13094,0,1
1775,4,11,6,8,7,8,7,5,7,7,6,6,6,8,3,7,16318,0,1
1776,2,2,4,4,2,7,6,6,5,6,6,9,2,9,4,9,8743,0,1
1777,3,5,4,3,2,4,8,5,7,11,9,12,1,9,3,7,13821,1,1
1778,1,3,2,1,1,7,2,2,1,7,2,8,1,6,1,7,618,0,4
1779,4,9,6,7,4,12,2,3,3,10,2,9,2,6,4,8,14594,1,4
1780,2,7,3,4,0,7,11,1,3,8,12,8,1,11,0,8,16367,0,1
1781,5,9,6,6,5,6,7,7,5,6,6,9,6,8,5,11,16943,0,1
1782,2,0,2,1,1,5,8,5,8,7,6,12,0,8,7,9,14778,0,1
1783,3,8,6,6,3,12,2,2,2,10,2,9,2,6,2,8,11964,1,4
1784,7,10,9,8,5,9,8,3,7,13,3,3,2,10,4,9,13744,0,1
1785,4,9,5,7,3,8,8,7,7,6,10,8,3,9,1,8,17265,0,1
1786,2,6,4,4,3,8,8,3,8,6,6,6,3,8,6,8,12485,0,1
1787,3,5,4,4,2,5,12,3,7,11,9,4,1,11,2,5,12180,1,1
1788,1,10,0,8,1,7,7,5,3,7,6,8,0,8,0,8,8220,0,8
1789,5,10,4,5,3,6,7,6,3,9,7,9,5,10,5,8,17958,0,1
1790,1,3,3,2,2,8,7,4,5,9,4,6,2,8,2,8,4247,0,1
1791,5,6,7,4,3,7,8,3,5,10,6,7,5,8,1,7,14261,1,1
1792,6,8,8,6,5,10,6,4,6,10,2,7,4,7,4,9,15620,1,1
1793,7,9,10,8,10,9,7,3,4,9,2,8,8,4,8,12,15331,0,1
1794,3,8,3,6,3,5,11,8,2,9,5,4,1,9,3,7,14838,0,1
1795,3,5,5,3,2,4,8,5,7,11,10,12,1,9,2,7,14583,1,1
1796,6,10,8,8,9,6,7,4,6,7,7,10,7,7,7,6,13862,1,1
1797,4,10,5,8,5,5,10,8,3,7,4,9,2,7,5,11,15186,1,1
1798,1,0,2,0,0,8,9,3,1,6,12,8,2,11,0,8,8806,1,16
1799,4,3,6,5,3,7,8,4,1,7,8,8,8,9,0,8,16030,0,1
1800,3,6,5,9,8,9,7,4,1,6,7,9,4,11,7,8,17665,1,1
1801,6,11,8,8,3,8,6,4,6,15,6,11,1,6,1,6,13824,0,6
1802,5,11,5,6,3,10,4,4,7,11,3,9,3,7,8,11,14285,1,1
1803,4,11,5,8,5,7,7,8,6,5,7,9,2,7,6,10,15161,0,1
1804,7,9,6,5,3,8,10,5,4,4,6,10,6,11,3,7,18773,0,1
1805,1,0,2,1,1,8,7,6,5,6,5,9,1,7,5,10,6038,1,1
1806,3,4,4,3,2,6,6,6,6,6,6,10,2,9,3,9,9362,1,1
1807,3,2,4,4,3,5,7,4,7,6,6,10,3,8,5,9,10646,0,1
1808,3,7,4,5,2,7,5,6,9,4,6,9,0,9,9,8,16755,0,1
1809,3,2,5,4,2,7,12,2,3,7,11,9,2,10,1,8,15869,1,1
1810,3,10,4,7,2,7,7,6,9,4,6,8,0,8,9,7,15827,1,1
1811,6,7,6,5,4,3,10,2,3,10,10,8,6,11,2,6,14414,1,1
1812,5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8,13289,0,19
1813,3,5,6,4,3,7,9,2,5,10,6,6,5,9,1,7,12135,1,1
1814,2,2,3,4,1,10,6,2,7,12,4,9,1,6,1,7,11440,0,6
1815,2,6,3,4,2,5,7,10,7,7,6,5,3,8,3,8,12752,0,1
1816,7,12,5,6,3,8,10,5,5,7,10,5,5,12,3,7,14440,1,1
1817,2,5,3,3,2,7,7,7,4,9,6,8,2,8,2,8,6955,1,1
1818,2,6,3,4,2,9,5,2,0,8,2,8,2,6,1,8,5678,0,4
1819,4,6,6,8,1,8,12,2,3,7,12,8,1,10,0,8,15795,0,1
1820,5,9,7,8,8,8,7,2,4,8,6,8,4,10,8,6,16368,0,1
1821,5,10,7,8,5,9,4,4,6,8,5,6,2,8,4,6,18081,0,1
1822,3,9,4,7,4,7,7,12,1,6,6,8,5,8,0,7,15519,1,2
1823,7,10,9,7,6,6,8,4,9,12,9,9,3,8,5,6,9923,0,1
1824,4,5,5,4,3,5,10,4,5,10,8,3,1,10,3,7,14322,0,1
1825,5,8,6,6,5,7,7,7,5,4,7,9,3,6,5,8,16719,0,1
1826,6,7,8,6,6,5,7,6,7,7,4,7,3,6,5,6,16577,0,1
1827,5,9,5,7,4,4,8,5,7,11,9,14,2,9,3,7,10600,1,1
1828,4,5,5,4,5,6,7,4,3,7,7,9,4,11,8,11,17471,0,1
1829,5,6,5,4,3,5,10,1,8,11,9,5,1,9,3,4,14791,1,1
1830,5,6,5,4,2,3,12,4,4,10,12,7,2,10,1,7,14503,1,1
1831,5,8,7,6,5,9,8,2,6,13,5,5,2,9,3,9,14675,1,1
1832,2,3,3,2,1,7,7,3,8,6,6,8,2,8,5,8,6114,1,1
1833,4,7,4,5,4,7,8,7,4,9,7,8,3,8,3,8,12985,1,1
1834,4,8,6,6,4,7,9,2,6,13,6,5,2,10,2,8,14006,1,1
1835,1,5,2,3,1,7,7,0,7,13,6,8,0,8,1,8,7705,1,6
1836,4,10,6,7,5,10,6,1,7,11,4,8,3,8,4,11,13623,0,1
1837,5,8,6,6,3,7,7,12,2,7,9,8,8,6,0,8,13685,1,9
1838,6,12,5,9,4,10,7,2,4,12,4,6,2,9,7,9,14308,1,1
1839,2,3,2,2,2,7,7,6,6,7,6,5,2,8,2,7,3873,0,1
1840,3,7,4,6,2,8,7,8,6,6,5,9,3,8,4,8,13064,1,1
1841,8,10,12,8,9,4,8,3,5,10,10,10,13,8,5,8,10179,0,1
1842,7,9,9,6,8,6,7,2,4,9,8,9,8,6,2,8,15629,1,1
1843,4,7,6,5,3,11,7,3,5,10,1,4,5,9,1,7,17607,0,1
1844,3,9,5,6,1,7,12,1,3,7,12,8,1,10,0,8,14394,1,1
1845,5,10,6,7,4,6,7,7,7,10,7,11,2,10,4,9,10294,1,1
1846,5,7,6,5,4,7,7,3,7,10,8,8,2,9,5,6,15868,1,1
1847,6,9,6,7,4,5,9,1,7,9,9,6,3,10,5,4,17031,1,1
1848,5,10,5,8,6,7,7,13,1,6,6,8,5,9,0,7,14639,0,2
1849,1,0,2,1,0,8,8,4,7,5,6,7,0,8,7,8,8471,0,1
1850,3,5,5,5,4,8,8,2,5,8,6,8,3,8,7,8,14629,1,1
1851,8,10,9,8,6,3,9,5,8,10,10,10,3,9,2,6,9289,1,1
1852,4,10,6,8,7,7,7,5,4,7,6,7,7,6,8,13,15398,0,1
1853,5,10,8,8,6,12,6,2,4,9,3,6,8,6,2,8,17922,0,1
1854,5,8,5,6,4,8,7,13,1,6,6,7,6,8,1,10,16201,0,2
1855,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8,15269,0,1
1856,3,10,4,8,2,7,7,0,8,13,6,8,0,8,1,8,12746,1,6
1857,2,0,2,1,1,8,7,7,4,6,6,9,2,8,3,8,4418,1,1
1858,2,1,3,1,2,7,7,5,5,7,6,6,1,8,5,9,5335,0,1
1859,5,9,7,6,5,9,6,1,6,10,4,8,3,8,4,10,15239,1,1
1860,3,4,4,3,2,7,7,3,9,6,6,9,2,8,5,8,9158,0,1
1861,1,1,1,3,1,7,7,1,7,7,6,8,0,8,2,8,2917,1,17
1862,4,11,5,8,3,7,14,0,5,7,10,8,0,8,0,8,12465,0,7
1863,8,11,6,6,4,9,6,6,6,11,4,9,6,6,6,10,12665,1,1
1864,3,4,5,6,1,8,8,4,3,7,14,8,3,10,0,8,15366,0,1
1865,3,11,4,8,2,9,4,5,8,12,4,12,1,6,2,6,18850,0,6
1866,5,9,7,11,8,9,8,8,3,5,6,10,3,9,6,10,12670,0,1
1867,6,12,4,6,2,5,10,5,8,11,8,9,2,8,5,8,15213,0,1
1868,4,8,6,6,4,7,8,7,7,10,6,5,3,8,4,7,16199,0,1
1869,6,9,9,6,5,8,7,3,6,10,5,8,3,8,3,7,15573,1,1
1870,4,3,5,5,4,8,7,7,3,5,6,9,3,8,5,8,13921,0,1
1871,2,1,3,2,1,7,7,5,9,6,6,8,1,8,7,8,7827,1,1
1872,3,6,4,4,4,7,8,4,6,6,5,7,3,7,5,8,9069,1,1
1873,4,7,6,5,3,5,5,5,7,6,5,9,2,10,4,7,14891,0,1
1874,2,3,4,4,0,7,10,2,2,7,13,8,1,11,0,8,16129,0,1
1875,6,8,6,10,8,8,5,7,3,9,6,9,3,8,5,8,15902,0,1
1876,3,5,6,3,3,7,7,1,8,10,6,8,2,8,3,8,10896,1,1
1877,3,6,6,4,4,8,5,2,4,7,2,6,2,6,4,6,6648,0,1
1878,5,8,5,9,6,7,10,4,3,6,9,11,3,9,6,8,15096,0,1
1879,2,4,4,3,2,7,11,2,2,7,9,8,6,11,0,8,14945,1,1
1880,2,5,4,4,1,9,6,2,7,14,5,10,1,6,1,7,14918,1,6
1881,5,10,5,5,3,5,8,2,9,11,8,8,3,6,6,5,18246,0,1
1882,6,10,7,8,4,8,4,1,6,7,7,8,1,10,4,8,18849,0,1
1883,4,9,3,4,2,10,5,3,4,11,4,9,2,8,6,12,18046,0,1
1884,1,9,0,6,0,7,7,4,4,7,6,8,0,8,0,8,4786,1,8
1885,5,8,7,6,7,7,8,6,4,8,6,8,4,10,8,11,12555,1,1
1886,5,9,5,6,4,4,8,5,7,10,9,9,3,9,2,5,15416,1,1
1887,6,11,10,8,7,4,11,2,3,8,9,9,8,11,1,8,9994,0,1
1888,7,11,9,8,11,8,8,5,3,8,5,8,6,8,13,8,8951,0,1
1889,6,8,6,6,4,4,11,1,3,8,10,8,4,11,1,7,15920,0,1
1890,4,10,5,8,2,7,7,4,15,9,6,8,0,8,8,8,7263,0,19
1891,6,10,8,8,6,7,9,5,7,5,4,9,4,4,7,8,18263,0,1
1892,4,9,4,7,3,1,12,4,4,11,10,7,0,8,2,7,14882,1,10
1893,4,6,4,4,2,7,5,14,1,7,9,8,3,9,0,8,17373,0,2
1894,11,14,9,8,4,8,9,6,5,7,10,5,7,13,3,8,7606,0,1
1895,5,8,6,6,3,5,9,3,9,11,6,7,2,7,5,6,16752,0,1
1896,4,8,6,6,4,7,7,8,5,7,5,8,3,8,3,8,11669,1,1
1897,3,7,4,5,2,3,4,3,8,2,1,7,0,7,1,5,1782,1,3
1898,3,4,5,3,3,8,6,3,4,9,6,8,6,5,2,8,9505,1,1
1899,2,3,3,2,1,6,10,2,5,13,7,5,1,9,1,7,10904,1,1
1900,4,7,6,5,3,5,12,6,3,12,5,2,1,10,3,8,17432,1,1
1901,4,8,6,6,7,5,6,3,4,7,5,9,6,10,7,5,17173,0,1
1902,3,7,5,5,6,8,6,3,4,6,6,8,6,8,6,8,14231,1,1
1903,14,14,14,8,7,7,10,5,5,4,4,11,11,13,2,7,6902,0,1
1904,5,8,5,6,2,7,4,14,6,7,14,8,3,9,0,8,7074,1,18
1905,7,12,6,7,3,9,7,5,4,12,3,6,5,9,4,8,15313,1,1
1906,2,5,3,4,3,8,7,5,9,6,6,7,2,8,7,8,11671,1,1
1907,6,11,6,8,3,3,10,3,7,12,12,7,1,11,3,5,10082,1,1
1908,4,8,4,6,2,3,7,6,11,7,6,15,0,8,7,7,9502,1,11
1909,7,9,10,7,7,9,7,3,7,10,4,7,5,8,5,9,11982,1,1
1910,7,10,10,8,6,8,10,7,5,9,4,3,3,10,5,9,15277,0,1
1911,4,6,4,4,2,3,12,4,3,10,11,7,2,10,1,8,13264,1,1
1912,2,5,4,4,2,8,7,3,9,6,6,8,2,8,6,9,11918,1,1
1913,2,2,3,3,1,7,10,1,7,7,11,8,1,11,2,8,13154,1,1
1914,4,6,4,4,2,5,11,3,4,9,11,7,2,10,1,8,14653,0,1
1915,2,2,4,4,1,8,9,4,2,7,13,8,3,10,0,8,16876,0,1
1916,1,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,6423,0,8
1917,6,11,6,8,4,6,7,7,6,9,8,11,3,7,6,8,13466,0,1
1918,6,10,9,8,7,7,7,2,5,9,8,8,9,7,3,8,13656,1,1
1919,1,0,1,0,0,7,7,9,3,7,12,8,2,10,0,8,18310,0,0
1920,6,10,9,8,6,6,8,4,9,11,9,9,2,9,5,6,9739,1,1
1921,7,12,7,6,4,9,8,4,5,8,8,5,6,10,3,6,16693,1,1
1922,6,11,6,6,4,11,2,4,2,11,4,12,5,3,5,11,16201,1,1
1923,5,10,6,8,4,7,7,3,6,10,6,8,2,8,5,8,16014,1,1
1924,8,15,8,8,5,4,9,3,8,11,11,9,4,9,3,5,9073,0,1
1925,3,10,5,7,4,7,11,2,3,5,11,9,2,11,1,8,14689,1,1
1926,2,5,4,4,2,6,10,1,7,8,11,9,1,11,2,7,15508,0,1
1927,6,9,9,8,8,7,8,2,4,7,7,8,6,5,5,6,18266,0,1
1928,1,0,2,1,1,7,6,9,0,7,8,8,6,6,0,8,5862,1,21
1929,5,9,7,7,4,5,4,2,9,6,2,8,1,6,3,6,12814,0,3
1930,1,0,2,0,0,7,4,2,0,7,2,8,1,7,1,8,583,0,12
1931,3,5,5,8,1,6,10,2,2,7,13,8,2,11,0,8,16761,0,1
1932,2,2,3,3,3,8,8,6,6,7,6,7,3,8,3,7,6982,0,1
1933,2,2,2,3,1,7,8,5,1,7,8,10,2,9,4,8,9505,1,1
1934,4,10,7,7,2,5,5,3,1,5,1,7,3,7,2,7,8899,0,4
1935,5,11,7,8,8,7,7,4,8,6,6,6,3,8,3,7,17658,0,1
1936,3,10,4,7,3,8,7,0,7,13,6,8,0,8,1,8,12320,1,6
1937,6,8,8,6,9,7,6,5,2,7,5,7,11,9,7,11,15011,0,1
1938,2,3,2,1,1,7,8,6,7,8,9,7,3,10,1,8,14767,0,1
1939,2,3,3,1,1,5,7,1,6,10,8,10,3,8,2,6,10364,0,1
1940,4,7,5,5,2,4,8,9,1,7,6,11,3,8,2,11,16182,1,15
1941,2,4,4,3,3,7,7,3,5,10,6,8,3,8,2,7,8024,0,1
1942,5,10,6,7,5,8,6,8,7,8,4,10,4,9,5,6,16227,0,1
1943,3,8,5,9,5,9,9,6,3,4,8,11,3,9,7,10,14489,0,1
1944,3,7,5,5,5,8,7,5,6,6,6,6,2,8,5,9,12843,1,1
1945,6,9,6,7,3,5,8,7,8,13,9,9,2,11,3,6,11954,0,1
1946,4,8,5,6,4,8,8,7,5,7,6,8,2,8,8,8,15480,1,1
1947,4,4,7,3,3,8,7,3,6,10,5,8,3,8,3,8,12526,0,1
1948,3,2,4,4,2,7,7,5,10,6,6,8,1,8,7,8,11801,0,1
1949,1,3,3,2,2,8,6,2,5,10,5,7,2,8,3,9,5935,1,1
1950,7,10,5,5,2,6,11,5,4,11,9,4,4,11,3,10,16658,0,1
1951,5,8,6,6,7,5,7,3,6,7,6,9,5,8,5,7,16567,1,1
1952,1,3,2,2,1,7,7,4,4,9,7,10,2,8,3,10,10837,0,1
1953,6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4,11259,1,1
1954,4,11,5,8,3,8,6,0,7,13,6,9,1,7,3,8,14870,0,6
1955,2,5,4,4,2,6,4,1,8,8,2,10,0,7,2,8,4614,1,3
1956,3,8,5,6,3,10,3,2,3,9,1,8,2,6,2,8,8442,1,4
1957,5,12,5,7,4,11,4,4,6,12,3,9,3,8,7,12,11008,1,1
1958,5,10,5,7,3,3,8,5,7,11,10,13,1,9,3,8,10575,1,1
1959,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8,17808,0,18
1960,6,9,7,11,8,9,10,6,4,3,9,12,4,9,9,14,10552,0,1
1961,4,9,4,7,3,8,9,2,3,13,5,5,2,9,7,9,17828,1,1
1962,9,13,7,7,3,5,9,4,6,3,4,11,6,10,2,7,16752,1,1
1963,5,10,7,8,5,7,11,1,8,7,11,8,1,11,1,8,10402,1,1
1964,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,16675,1,1
1965,4,9,6,7,3,10,7,2,8,10,1,7,3,8,4,9,16686,0,1
1966,6,11,6,9,5,8,6,8,5,10,5,9,4,9,5,6,13742,0,1
1967,4,11,6,8,5,8,7,6,8,7,6,5,6,8,3,7,17080,0,1
1968,4,8,4,6,4,6,7,9,7,7,7,6,2,8,3,8,14429,1,1
1969,5,11,7,9,6,5,7,7,9,7,6,12,3,8,6,8,12501,0,1
1970,3,7,5,5,5,9,7,2,4,8,5,5,3,9,5,6,12752,1,1
1971,3,4,3,3,3,7,7,5,8,7,6,8,2,8,6,9,10104,1,1
1972,6,9,8,8,7,7,6,5,4,6,7,8,7,8,2,7,16632,1,1
1973,6,10,8,8,8,6,7,5,3,7,5,8,5,7,10,8,15461,1,1
1974,2,5,3,4,2,6,8,7,7,9,8,13,1,9,4,10,13425,1,1
1975,1,0,1,0,0,8,14,2,4,6,10,8,0,8,0,8,17800,0,7
1976,7,10,7,5,4,5,8,1,3,8,10,8,9,11,2,6,16567,0,1
1977,4,7,6,10,10,7,5,4,3,8,8,9,9,10,8,8,15278,0,1
1978,3,3,4,1,2,5,11,3,2,9,9,7,6,11,1,6,15163,0,1
1979,3,8,4,6,3,5,7,6,8,5,6,12,1,7,4,10,16476,0,1
1980,3,8,4,6,3,7,11,2,3,6,11,9,2,10,1,9,15175,1,1
1981,5,9,7,7,6,8,7,6,3,7,6,10,5,9,9,8,13833,1,1
1982,2,7,3,4,1,7,7,4,4,7,6,8,3,8,4,8,6128,0,1
